scenario_geography_name,standardized_geography_name
Africa,Africa
China,China
Eurasia/Eastern Europe,R5REF
Global,Global
India,India
Latin America,LatinAmerica
MiddleEast,MiddleEast
Non OECD Asia,NonOECDAsia
OECD Europe,OECDEurope
OECD North America,NorthAmerica
OECD Pacific,OECDAsiaOceania
